Title,Genre,G_news,Vader,Polar,Subject,IMDB
Dulha Mil Gaya,3,0.6,0.44,-0.08,0.23,4.4
Pyaar Impossible!,3,0.45,-0.03,-0.5,0.84,4.7
Chance Pe Dance,3,0.65,0.14,0.04,0.2,4.7
Hello! Hum Lallan Bol Rahe Hain,3,0.55,0,0,0,6.3
The Waiting Room,11,0.4,-0.01,0.02,0.33,6.5
Veer,2,0.5,0.05,0.07,0.33,8.3
Ishqiya,3,0.6,0.43,0.53,0.76,7.3
Rann,4,0.5,0.1,0.11,0.36,7
Road to Sangam,4,0.5,-0.02,-0.02,0.09,7.6
The Hangman,10,0.4,0.07,0.06,0.33,6.7
Striker,6,0.65,0.21,0.16,0.34,7
My Name Is Khan,4,0.5,0.14,0.11,0.18,8
Sukhmani,4,0.55,0.22,0.11,0.35,5.7
Aakhari Decision,2,0.6,-0.3,0,0,6
Click,3,0.55,0.27,0.14,0.3,6.4
Toh Baat Pakki!,3,0.65,-0.19,0.19,0.44,5.3
Karthik Calling Karthik,4,0.5,0.06,0.02,0.34,7
Teen Patti,6,0.55,0.34,0.04,0.18,4.1
Atithi Tum Kab Jaoge?,3,0.55,0,0,0,6.4
Hello Zindagi,4,0.65,0.33,0.24,0.32,6.6
"Road, Movie",1,0.55,0.06,0.15,0.35,6.9
Rokkk,4,0.55,0.01,-0.02,0.48,4.5
Thanks Maa,6,0.6,0.53,0.24,0.36,7.9
Do Dilon Ke Khel Mein,3,0.55,0,0,0,5.8
Na Ghar Ke Na Ghaat Ke,3,0.5,-0.32,0.6,1,6.3
Right Yaaa Wrong,6,0.4,0.14,0.05,0.34,6.4
Trump Card,2,0.55,0.08,-0.03,0.35,2.7
Idiot Box,3,0.4,-0.29,-0.28,0.56,6.5
Lahore,2,0.4,0.07,0.11,0.43,6.4
Love Sex aur Dhokha,3,0.6,0.88,0.5,0.6,7.1
Shaapit,1,0.5,0,0,0,5.6
Hum Tum Aur Ghost,3,0.5,0,0,0,4.8
Mittal v/s Mittal,4,0.5,0.35,-0.07,0.39,4.8
My Friend Ganesha 3,8,0.7,0,0,0,4.4
Prem Kaa Game,3,0.6,0,0,0,3.7
Well Done Abba,3,0.55,0.47,0.13,0.23,7.3
Pankh,4,0.55,0.36,0.22,0.46,4.3
Tum Milo Toh Sahi,3,0.5,-0.51,0.2,0.2,5.7
Jaane Kahan Se Aayi Hai,3,0.55,0,0,0,4.1
The Japanese Wife,4,0.5,0.1,0.05,0.26,7.6
Paathshaala,4,0.55,0.48,0.57,0.73,5
Phoonk 2,4,0.5,0.15,0.04,0.33,3.3
Apartment,4,0.35,0.05,0.03,0.37,8.3
Bird Idol,8,0.55,0.14,-0.01,0.38,6.2
Kuchh Kariye,1,0.45,0.2,0.33,0.34,5
Muskurake Dekh Zara,3,0.5,0,0,0,4.3
Chase,5,0.5,0.13,0.1,0.36,7
Housefull,3,0.6,0.11,0.11,0.28,5.5
Badmaash Company,3,0.55,0.19,0.03,0.2,6
Its a Wonderful Afterlife,3,0.45,0.72,1,1,5.4
Admissions Open,3,0.65,0.26,0.13,0.42,3
Bumm Bumm Bole,4,0.55,0,0,0,6.1
Kushti,3,0.55,0.05,-0.01,0.12,4.3
Kites,2,0.7,0.11,0.16,0.31,4.4
Raajneeti,6,0.5,-0.05,0.07,0.32,7.2
Ek Second Jo Zindagi Badal De,4,0.5,0,0,0,3.5
Raavan,2,0.5,0.13,0.12,0.32,5.4
Krantiveer - The Revolution,2,0.5,0,0,0,5.1
Mr. Singh / Mrs. Mehta,4,0.5,0,0,0,4.5
I Hate Luv Storys,3,0.4,-0.48,-0.44,0.86,5.7
Milenge Milenge,4,0.55,0.12,0.08,0.33,4.1
Red Alert: The War Within,2,0.45,-0.36,0.2,0.3,6.5
Lamhaa,2,0.55,0.28,0.14,0.17,5.1
Tere Bin Laden,3,0.6,0.3,0.01,0.11,7.2
Udaan,4,0.45,0.14,0.12,0.35,8.2
Khatta Meetha,3,0.65,0.14,0.11,0.28,5.8
Once Upon a Time in Mumbaai,2,0.55,0.32,0.12,0.22,7.4
Aisha,3,0.55,0.14,0.14,0.27,5
Help,7,0.65,0.26,0.05,0.33,8.1
Peepli Live,9,0.55,0.07,0.09,0.47,7.4
Lafangey Parindey,2,0.55,0.18,0.05,0.05,5.3
Mr. Bhatti on Chutti,3,0.35,0,0,0,4
Antardwand,4,0.5,0,0,0,7.4
Life Express,4,0.5,0.13,0.11,0.42,4.9
Aashayein,4,0.55,0.34,0.34,0.58,7.2
Soch Lo,2,0.5,0.05,0.04,0.14,6.6
We Are Family,3,0.55,0.23,0.15,0.43,5.6
Mallika,7,0.5,0.14,0.1,0.3,4.4
The Film Emotional Atyachar,3,0.5,0,0,0,6.1
Dabangg,2,0.6,0.12,0.11,0.3,6.3
Robot,2,0.4,0.07,0.05,0.25,8.5
Anjaana Anjaani,3,0.65,0.29,0.1,0.35,5.8
Khichdi: The Movie,3,0.5,0.61,0.25,0.3,7.2
Crook,2,0.5,-0.07,-0.01,0.33,8.4
Do Dooni Chaar,3,0.6,0.47,0.32,0.45,7.6
Aakrosh,2,0.45,0.1,0.06,0.39,7
Knock Out,3,0.6,-0.03,0.01,0.3,5
Kajraare,6,0.5,0,0,0.1,3
Ramayana: The Epic,8,0.55,0.24,0.21,0.44,6
Hisss,3,0.65,0.03,0.03,0.22,3
Jhootha Hi Sahi,3,0.55,0.3,0.31,0.5,6.2
Rakta Charitra - I,2,0.55,0,0,0,6.4
Dunno Y... Na Jaane Kyon,4,0.45,0.46,0.15,0.55,3.8
Maalik Ek,6,0.5,-0.29,0.09,0.17,8.4
Nakshatra,6,0.55,0.07,0.09,0.24,5.6
Golmaal 3,2,0.55,0.1,-0.05,0.35,5.4
Action Replayy,3,0.5,0.41,0.21,0.28,4.2
A Flat,4,0.4,0.02,0.02,0.29,5.2
Ramaa: The Saviour,2,0.5,0,0,0,4.1
Guzaarish,4,0.7,0.22,0.14,0.37,7.5
Shahrukh Bola Khoobsurat Hai Tu,3,0.5,0,0,0,6.2
Allah Ke Banday,2,0.55,0.9,0.8,0.88,6.3
Bhindi Baazaar Inc.,6,0.35,0,0,0,6.2
Break Ke Baad,3,0.55,0.04,0.05,0.28,5.2
Khuda Kasam,2,0.5,0.18,0.24,0.56,4.1
Khelein Hum Jee Jaan Sey,2,0.55,0.51,0,0,5.9
Phas Gaye Re Obama,3,0.65,0,0,0,7.5
Rakta Charitra - II,2,0.5,0,0,0,6.4
Band Baaja Baaraat,3,0.45,0.1,0.12,0.16,7.2
No Problem,2,0.2,-0.34,0.07,0.28,4.2
Kaalo,2,0.5,0.02,0.07,0.39,3.1
Mirch,3,0.6,0.11,0.08,0.29,6.6
Tees Maar Khan,3,0.5,0.23,0.08,0.38,2.6
Isi Life Mein,3,0.55,0,0,0,5.9
Toonpur Ka Super Hero,8,0.6,0,0,0,4.3
Tera Kya Hoga Johnny,6,0.55,0,0,0,6.2
Ada... A Way of Life,2,0.4,-0.42,-0.35,0.66,3.5
No One Killed Jessica,6,0.4,-0.71,0.06,0.31,7.2
Impatient Vivek,3,0.45,0,0,0,2.3
Yamla Pagla Deewana,2,0.6,0.5,0.45,0.46,3.5
Turning 30!!!,3,0.55,0.06,0.04,0.33,5.2
Mumbai Mast Kallander,2,0.5,0,0,0,5.8
Odyssey of Persistence,11,0.55,0.04,0.03,0.14,8
Dhobi Ghat,4,0.5,0.09,0.09,0.36,7.1
Hostel,7,0.4,0.12,0.11,0.35,5.9
Dil Toh Baccha Hai Ji,3,0.5,-0.32,0.3,0.5,5.7
Yeh Saali Zindagi,6,0.5,0.77,0.5,0.47,7.5
United Six,2,0.5,0.31,0.11,0.38,3.9
Utt Pataang,3,0.5,0,0,0,6
Patiala House,4,0.45,0.05,0.06,0.3,5.9
Aashiqui,4,0.5,0.23,0.12,0.33,7
7 Khoon Maaf,4,0.5,-0.03,-0.02,0.29,6.1
Kaccha Limbo,3,0.6,0,0,0,6.4
Masti Express,1,0.6,0.36,0.06,0.58,5.2
Tanu Weds Manu,3,0.65,0.16,0.14,0.34,6.7
Satrangee Parachute,3,0.5,0,0,0,5.6
Yeh Faasley,6,0.55,0,0,0,6.3
Happy Husbands,3,0.75,0.44,0.45,0.7,5.6
Monica,4,0.6,0.2,0.18,0.34,8.4
Game,4,0.6,0.19,-0.1,0.4,5.1
F.A.L.T.U,3,0.55,0.04,0,0.11,4.6
Memories in March,4,0.5,0.17,0.17,0.37,7.1
Thank You,3,0.8,0.49,0.15,0.24,4.7
Teen Thay Bhai,3,0.45,0,0,0,4.3
Dum Maaro Dum,2,0.6,0.09,0.18,0.44,6.2
Zokkomon,2,0.5,0,0,0,4.2
Shor in the City,6,0.5,0,0.1,0.3,7.3
Chalo Dilli,3,0.55,-0.09,0.02,0.08,6.8
I Am,6,0.5,0.07,0.07,0.38,6.8
Naughty @ 40,3,0.4,0,0,0,2.6
Luv Ka The End,3,0.55,-0.05,0,0,4.9
Haunted ?? 3D,7,0.5,0,0,0,6.3
Love U...Mr. Kalakaar!,4,0.6,0,0,0,5.8
Ragini MMS,4,0.55,0.18,0.01,0.44,5
Shagird,3,0.55,0.03,0.1,0.26,7
Stanley Ka Dabba,3,0.65,0.35,0.11,0.55,7.9
Pyar ka Punchnama,3,0.5,0.02,0.15,0.31,7.7
Kucch Luv Jaisaa,4,0.55,0,0,0,4.4
Ready,2,0.65,0.36,0.18,0.5,7.5
Shaitan,2,0.65,-0.04,0.06,0.32,7.3
Bheja Fry 2,3,0.5,0,0,0,4.7
Always Kabhi Kabhi,3,0.5,0.14,0.12,0.37,4.3
Bhindi Baazaar Inc.,6,0.35,0,0,0,6.2
Bin Bulaye Baraati,2,0.55,0.72,0.33,1,3.9
Double Dhamaal,3,0.5,0,0.09,0.12,3.8
Bbuddah... Hoga Terra Baap,2,0.55,0,0,0,5.6
Delhi Belly,2,0.55,0.07,0.06,0.21,7.6
Murder 2,2,0.15,-0.48,-0.04,0.33,6
Chillar Party,3,0.65,0.3,0.09,0.36,7.5
Zindagi Na Milegi Dobara,3,0.45,0.22,0.15,0.27,8.1
Singham,2,0.5,-0.11,0.1,0.28,6.8
Khap,4,0.5,0.07,0.08,0.18,5.8
Gandhi to Hitler,4,0.45,0.12,0.01,0.27,2.7
Bubble Gum,4,0.6,0.08,0.08,0.23,7.6
Chala Mussaddi... Office Office,3,0.6,0,0,0,6.1
I Am Kalam,3,0.55,0.2,0.08,0.36,8
Milta Hai Chance By Chance,3,0.6,0,0,0,6.7
Aarakshan,4,0.5,0.02,0.04,0.28,6.2
Phhir,4,0.55,-0.05,-0.02,0.47,5.4
Chatur Singh Two Star,2,0.5,0,0,0,1.8
Not a Love Story,6,0.8,0.31,0.2,0.52,5
Sahi Dhandhe Galat Bande,2,0.6,0,0,0,4.9
Chitkabrey ?? Shades of Grey,4,0.5,0,0,0,4.1
Shabri,2,0.5,0.07,0.01,0.27,5.7
Yeh Dooriyan,4,0.5,0,0,0,5.1
Bodyguard,6,0.4,0.04,0.07,0.3,8.2
Mummy Punjabi,3,0.5,-0.19,-0.31,0.7,5.7
That Girl in Yellow Boots,6,0.55,-0.28,-0.05,0.2,6.7
Mere Brother Ki Dulhan,3,0.55,0.28,-0.07,0.5,5.9
Rivaaz,6,0.55,0.32,0.16,0.43,4.3
Mausam,4,0.5,0.23,0.23,0.43,4.8
Speedy Singhs,3,0.55,0,0,0,5.8
U R My Jaan,6,0.65,0.42,0.25,0.38,6
Force,6,0.55,0.01,0.04,0.38,7.3
Hum Tum Shabana,3,0.55,0,0,0,4
Saheb Biwi Aur Gangster,2,0.4,0.39,0.15,0.64,4.5
Tere Mere Phere,3,0.4,0,0,0,5.4
Chargesheet,4,0.5,-0.12,0.05,0.22,6.3
Rascals,2,0.55,0.1,0.04,0.39,6.3
Love Breakups Zindagi,3,0.5,0.58,0.28,0.56,5.8
Mujhse Fraaandship Karoge,3,0.6,0,0,0,6.9
My Friend Pinto,3,0.65,0.52,0.39,0.3,5.3
Aazaan,2,0.5,0.1,0.2,0.34,4.5
Ra.One,2,0.55,0.1,0.08,0.25,4.8
Tell Me O Kkhuda,2,0.6,0,0,0,2.6
